BusinessEntityID,SickLeaveHours
1,69
2,20
3,21
4,80
5,22
6,23
7,50
8,51
9,51
10,64
11,23
12,24
13,24
14,21
15,22
16,40
17,41
18,44
19,41
20,40
21,42
22,42
23,43
24,43
25,52
26,41
27,60
28,30
29,29
30,27
31,29
32,31
33,28
34,27
35,31
36,30
37,28
38,32
39,32
40,61
41,37
42,39
43,37
44,39
45,38
46,38
47,52
48,61
49,64
50,62
51,62
52,63
53,63
54,64
55,59
56,24
57,25
58,25
59,26
60,26
61,24
62,60
63,35
64,33
65,34
66,34
67,36
68,33
69,35
70,36
71,55
72,40
73,41
74,41
75,42
76,42
77,43
78,56
79,50
80,52
81,52
82,51
83,50
84,53
85,51
86,49
87,53
88,69
89,68
90,68
91,67
92,69
93,59
94,23
95,20
96,22
97,20
98,22
99,21
100,23
101,21
102,53
103,66
104,67
105,65
106,66
107,65
108,58
109,67
110,65
111,66
112,65
113,68
114,68
115,66
116,69
117,69
118,64
119,67
120,64
121,66
122,68
123,67
124,69
125,67
126,68
127,56
128,54
129,54
130,55
131,56
132,53
133,55
134,40
135,24
136,22
137,24
138,23
139,20
140,22
141,20
142,21
143,21
144,23
145,54
146,38
147,38
148,39
149,39
150,37
151,40
152,40
153,27
154,25
155,28
156,25
157,26
158,27
159,26
160,57
161,57
162,57
163,58
164,56
165,58
166,54
167,32
168,37
169,35
170,33
171,36
172,31
173,36
174,34
175,31
176,34
177,32
178,33
179,35
180,41
181,30
182,30
183,28
184,29
185,29
186,57
187,59
188,60
189,60
190,61
191,59
192,55
193,46
194,43
195,49
196,46
197,44
198,44
199,47
200,48
201,47
202,45
203,45
204,48
205,58
206,62
207,62
208,63
209,63
210,61
211,60
212,60
213,62
214,62
215,61
216,61
217,58
218,58
219,59
220,59
221,57
222,42
223,43
224,42
225,43
226,44
227,63
228,66
229,65
230,64
231,65
232,64
233,63
234,20
235,47
236,46
237,46
238,45
239,45
240,44
241,48
242,50
243,50
244,51
245,49
246,51
247,52
248,49
249,47
250,44
251,49
252,50
253,48
254,48
255,46
256,49
257,47
258,46
259,47
260,45
261,45
262,48
263,52
264,54
265,55
266,54
267,57
268,56
269,56
270,53
271,53
272,55
273,25
274,27
275,39
276,33
277,32
278,36
279,34
280,31
281,33
282,35
283,31
284,39
285,30
286,38
287,30
288,37
289,38
290,37
